params,mean_test_score,std_test_score,rank_test_score
{'modelo__C': 0.1},0.455917800138955,0.09653699177738416,3
{'modelo__C': 1},0.4631861687148149,0.09675038015529909,2
{'modelo__C': 10},0.4663098030114975,0.09528607780086944,1
